Word,C1,C2,C3,C4,Frequency
解忧,解,忧,NA,NA,0.8006
菱,菱,NA,NA,NA,0.0371
袜,袜,NA,NA,NA,2.1868
增色,增,色,NA,NA,0.6597
人居,人,居,NA,NA,0.215
情妇,情,妇,NA,NA,2.3425
冰糖,冰,糖,NA,NA,7.9985
公海,公,海,NA,NA,0.252
门子,门,子,NA,NA,1.238
芫荽,芫,荽,NA,NA,0.2372
宠信,宠,信,NA,NA,0.0445
灭迹,灭,迹,NA,NA,0.2076
下巴,下,巴,NA,NA,9.748
趋向,趋,向,NA,NA,0.9044
情意,情,意,NA,NA,19.1475
扁,扁,NA,NA,NA,10.2743
癫痫,癫,痫,NA,NA,2.0311
介,介,NA,NA,NA,4.9666
吉,吉,NA,NA,NA,23.8547
沦陷,沦,陷,NA,NA,3.195
丑闻,丑,闻,NA,NA,10.1186
上校,上,校,NA,NA,10.6449
道路,道,路,NA,NA,27.146
缓和,缓,和,NA,NA,1.6531
车夫,车,夫,NA,NA,0.9266
胸腔,胸,腔,NA,NA,1.4233
屁话,屁,话,NA,NA,3.0986
底蕴,底,蕴,NA,NA,0.9192
重量,重,量,NA,NA,6.9904
四方,四,方,NA,NA,0.934
器材,器,材,NA,NA,2.2683
火速,火,速,NA,NA,2.55
败退,败,退,NA,NA,0.1631
竹子,竹,子,NA,NA,2.4981
开眼,开,眼,NA,NA,2.2461
车钱,车,钱,NA,NA,0.2224
得数,得,数,NA,NA,0.3632
头寸,头,寸,NA,NA,0.089
颓丧,颓,丧,NA,NA,0.2001
欣然,欣,然,NA,NA,2.1868
拨款,拨,款,NA,NA,0.934
水线,水,线,NA,NA,0.0297
桀,桀,NA,NA,NA,0.0445
香艳,香,艳,NA,NA,0.6597
拆散,拆,散,NA,NA,2.5723
情敌,情,敌,NA,NA,2.387
愚笨,愚,笨,NA,NA,1.364
往常,往,常,NA,NA,5.3966
幼年,幼,年,NA,NA,0.8302
星空,星,空,NA,NA,13.6323
香客,香,客,NA,NA,0.4077
关切,关,切,NA,NA,2.0385
水笔,水,笔,NA,NA,0.1927
苦海,苦,海,NA,NA,1.49
让,让,NA,NA,NA,2406.0638
槃,槃,NA,NA,NA,0.089
哀歌,哀,歌,NA,NA,0.0741
笑星,笑,星,NA,NA,0.6894
条例,条,例,NA,NA,2.8688
增收,增,收,NA,NA,0.1483
夹道,夹,道,NA,NA,0.1334
茜,茜,NA,NA,NA,2.1794
授衔,授,衔,NA,NA,0.0519
输液,输,液,NA,NA,3.6842
猎人,猎,人,NA,NA,12.765
廉价,廉,价,NA,NA,6.4566
钒,钒,NA,NA,NA,0.0148
外务,外,务,NA,NA,0.2298
锦绣,锦,绣,NA,NA,1.7717
老练,老,练,NA,NA,0.9637
子,子,NA,NA,NA,68.0875
拖带,拖,带,NA,NA,0.1112
至上,至,上,NA,NA,7.0274
难当,难,当,NA,NA,1.9051
降职,降,职,NA,NA,0.2595
冬菇,冬,菇,NA,NA,1.3195
招待,招,待,NA,NA,6.5382
赌窝,赌,窝,NA,NA,0.0222
血渍,血,渍,NA,NA,0.2743
除尘,除,尘,NA,NA,0.4596
筏子,筏,子,NA,NA,0.215
学年,学,年,NA,NA,0.7116
木工,木,工,NA,NA,0.6597
个子,个,子,NA,NA,5.2187
稽,稽,NA,NA,NA,0.3113
快报,快,报,NA,NA,2.8169
噩耗,噩,耗,NA,NA,1.742
胶,胶,NA,NA,NA,17.1831
荷包,荷,包,NA,NA,3.0245
地窖,地,窖,NA,NA,0.9637
当归,当,归,NA,NA,1.3788
蹂躏,蹂,躏,NA,NA,2.5056
回荡,回,荡,NA,NA,1.6308
隔阂,隔,阂,NA,NA,1.6679
色差,色,差,NA,NA,0.7709
脸谱,脸,谱,NA,NA,0.8525
年检,年,检,NA,NA,0.3558
电眼,电,眼,NA,NA,1.8236
自刎,自,刎,NA,NA,0.2743
扫帚,扫,帚,NA,NA,2.2313
诚,诚,NA,NA,NA,4.6405
丰满,丰,满,NA,NA,5.5745
析出,析,出,NA,NA,0.1483
帽檐,帽,檐,NA,NA,0.1334
鼓动,鼓,动,NA,NA,0.8821
大要,大,要,NA,NA,0.0741
时鲜,时,鲜,NA,NA,0.0445
镌刻,镌,刻,NA,NA,0.4299
消息,消,息,NA,NA,211.957
温度,温,度,NA,NA,25.9007
上坟,上,坟,NA,NA,3.573
思虑,思,虑,NA,NA,0.8377
漏子,漏,子,NA,NA,0.1408
营运,营,运,NA,NA,0.8006
集权,集,权,NA,NA,0.215
神明,神,明,NA,NA,1.6383
苦心,苦,心,NA,NA,1.9422
小号,小,号,NA,NA,4.4403
迅速,迅,速,NA,NA,24.3884
真人,真,人,NA,NA,2.3721
误点,误,点,NA,NA,0.8154
误诊,误,诊,NA,NA,0.4596
剂量,剂,量,NA,NA,2.4463
天然,天,然,NA,NA,18.9251
红润,红,润,NA,NA,2.6242
连翘,连,翘,NA,NA,0.1112
推脱,推,脱,NA,NA,1.0897
建材,建,材,NA,NA,1.1564
浸染,浸,染,NA,NA,0.1557
派,派,NA,NA,NA,62.8095
球,球,NA,NA,NA,106.7383
哀求,哀,求,NA,NA,1.4233
加快,加,快,NA,NA,9.0511
军队,军,队,NA,NA,17.0126
工房,工,房,NA,NA,0.4448
磨砺,磨,砺,NA,NA,1.4752
化肥,化,肥,NA,NA,1.4678
盛年,盛,年,NA,NA,0.1408
清真,清,真,NA,NA,0.8673
支柱,支,柱,NA,NA,3.9362
兴奋,兴,奋,NA,NA,92.4314
供,供,NA,NA,NA,18.9474
无暇,无,暇,NA,NA,3.3358
心志,心,志,NA,NA,0.9637
迅即,迅,即,NA,NA,0.0741
佛像,佛,像,NA,NA,1.1045
龙虾,龙,虾,NA,NA,6.553
食言,食,言,NA,NA,1.6086
碘酒,碘,酒,NA,NA,0.2001
伙,伙,NA,NA,NA,11.0897
微机,微,机,NA,NA,0.1631
环抱,环,抱,NA,NA,0.6672
后尘,后,尘,NA,NA,0.5634
包工,包,工,NA,NA,0.2001
连累,连,累,NA,NA,1.831
主楼,主,楼,NA,NA,0.4003
亲友,亲,友,NA,NA,6.1824
老公,老,公,NA,NA,143.6546
校验,校,验,NA,NA,0.0667
偏差,偏,差,NA,NA,1.3121
棺材,棺,材,NA,NA,6.4344
开赴,开,赴,NA,NA,0.2446
探路,探,路,NA,NA,0.4967
滴灌,滴,灌,NA,NA,0.0371
罩袍,罩,袍,NA,NA,0.0445
校准,校,准,NA,NA,0.3706
尽职,尽,职,NA,NA,1.1564
甸,甸,NA,NA,NA,0.089
星辰,星,辰,NA,NA,3.447
用语,用,语,NA,NA,1.3491
家畜,家,畜,NA,NA,0.3039
缔造,缔,造,NA,NA,0.9933
崎,崎,NA,NA,NA,1.2231
憋气,憋,气,NA,NA,0.9118
星级,星,级,NA,NA,6.2861
原告,原,告,NA,NA,2.3647
严峻,严,峻,NA,NA,1.6976
煽,煽,NA,NA,NA,0.7042
政务,政,务,NA,NA,0.4596
国葬,国,葬,NA,NA,0.0222
抖动,抖,动,NA,NA,1.2454
磋商,磋,商,NA,NA,0.3855
掌舵,掌,舵,NA,NA,0.5634
归结,归,结,NA,NA,1.0971
音节,音,节,NA,NA,0.682
朝政,朝,政,NA,NA,0.0815
产出,产,出,NA,NA,0.9563
傻眼,傻,眼,NA,NA,2.0608
忧,忧,NA,NA,NA,5.2113
立定,立,定,NA,NA,0.3558
狂放,狂,放,NA,NA,0.4374
证书,证,书,NA,NA,5.1075
护林,护,林,NA,NA,0.2891
云天,云,天,NA,NA,0.6894
深重,深,重,NA,NA,1.0897
乐评,乐,评,NA,NA,0.1853
夏娃,夏,娃,NA,NA,4.129
净值,净,值,NA,NA,0.2743
旁白,旁,白,NA,NA,1.6901
满分,满,分,NA,NA,3.0689
歇业,歇,业,NA,NA,1.0823
纯粹,纯,粹,NA,NA,15.2409
充,充,NA,NA,NA,3.0689
中线,中,线,NA,NA,0.6746
钠灯,钠,灯,NA,NA,0.0148
阻止,阻,止,NA,NA,48.3469
禁药,禁,药,NA,NA,0.3188
氏族,氏,族,NA,NA,0.3262
固化,固,化,NA,NA,0.4374
刹车,刹,车,NA,NA,6.3751
崖,崖,NA,NA,NA,0.467
战国,战,国,NA,NA,2.6983
攻,攻,NA,NA,NA,17.6649
沦,沦,NA,NA,NA,0.1779
断面,断,面,NA,NA,0.1557
函授,函,授,NA,NA,0.1631
雅,雅,NA,NA,NA,5.4411
顺境,顺,境,NA,NA,2.9652
音量,音,量,NA,NA,3.8176
改观,改,观,NA,NA,1.3343
回味,回,味,NA,NA,12.7354
狠心,狠,心,NA,NA,6.4196
野鸽,野,鸽,NA,NA,0.0371
构件,构,件,NA,NA,0.0815
古板,古,板,NA,NA,0.8228
反动,反,动,NA,NA,0.6449
箱子,箱,子,NA,NA,20.556
互动,互,动,NA,NA,21.4974
晨练,晨,练,NA,NA,1.8013
书写,书,写,NA,NA,69.192
攀附,攀,附,NA,NA,0.252
路轨,路,轨,NA,NA,0.0593
凡尔,凡,尔,NA,NA,0.1408
劳役,劳,役,NA,NA,0.1483
降伏,降,伏,NA,NA,0.2743
相思,相,思,NA,NA,11.1268
精制,精,制,NA,NA,0.5263
手巧,手,巧,NA,NA,1.0007
头号,头,号,NA,NA,2.6686
腹泻,腹,泻,NA,NA,7.02
雨衣,雨,衣,NA,NA,1.6753
以远,以,远,NA,NA,0.0222
使,使,NA,NA,NA,178.0578
寒冬,寒,冬,NA,NA,6.3899
工蜂,工,蜂,NA,NA,0.1631
饲,饲,NA,NA,NA,0.0371
溯,溯,NA,NA,NA,0.2965
中等,中,等,NA,NA,4.4403
有的,有,的,NA,NA,65.6042
暑,暑,NA,NA,NA,0.8154
奏,奏,NA,NA,NA,2.2832
云烟,云,烟,NA,NA,1.2009
乙烯,乙,烯,NA,NA,0.2743
支使,支,使,NA,NA,0.3336
吝惜,吝,惜,NA,NA,0.3113
敲打,敲,打,NA,NA,2.3425
痕迹,痕,迹,NA,NA,19.6516
初期,初,期,NA,NA,2.8169
坦陈,坦,陈,NA,NA,0.0445
严实,严,实,NA,NA,0.8154
彩绘,彩,绘,NA,NA,1.1045
瓣膜,瓣,膜,NA,NA,0.1927
兑现,兑,现,NA,NA,6.2046
奔驰,奔,驰,NA,NA,8.8139
原著,原,著,NA,NA,1.5493
俑,俑,NA,NA,NA,0.2372
大衣,大,衣,NA,NA,39.2735
纤小,纤,小,NA,NA,0.0297
花色,花,色,NA,NA,1.4826
得罪,得,罪,NA,NA,7.954
恐怖,恐,怖,NA,NA,61.8977
原作,原,作,NA,NA,0.8525
记事,记,事,NA,NA,2.5574
老将,老,将,NA,NA,0.5782
握别,握,别,NA,NA,0.0593
仇杀,仇,杀,NA,NA,0.3039
泉眼,泉,眼,NA,NA,0.2743
乡邻,乡,邻,NA,NA,0.0297
终场,终,场,NA,NA,0.4818
气团,气,团,NA,NA,0.0667
核,核,NA,NA,NA,9.8295
仇家,仇,家,NA,NA,0.5041
别处,别,处,NA,NA,7.0941
芳泽,芳,泽,NA,NA,0.0297
茶钱,茶,钱,NA,NA,0.0222
无恙,无,恙,NA,NA,0.6968
遂,遂,NA,NA,NA,8.8658
葡,葡,NA,NA,NA,0.3706
影像,影,像,NA,NA,7.7465
军饷,军,饷,NA,NA,0.0964
碱,碱,NA,NA,NA,2.4166
庄稼,庄,稼,NA,NA,1.7643
哺,哺,NA,NA,NA,0.0222
随,随,NA,NA,NA,56.7606
行商,行,商,NA,NA,0.0815
废弃,废,弃,NA,NA,3.9214
暗娼,暗,娼,NA,NA,0.0445
守,守,NA,NA,NA,29.7702
稿纸,稿,纸,NA,NA,0.3336
倒挂,倒,挂,NA,NA,0.2743
首席,首,席,NA,NA,6.9904
抽检,抽,检,NA,NA,0.4818
自转,自,转,NA,NA,0.4967
印章,印,章,NA,NA,1.5345
遗传,遗,传,NA,NA,7.3091
总队,总,队,NA,NA,0.682
曲霉,曲,霉,NA,NA,0.0445
潜心,潜,心,NA,NA,0.9933
瓦,瓦,NA,NA,NA,9.103
笛子,笛,子,NA,NA,2.0163
珍,珍,NA,NA,NA,2.3128
坟茔,坟,茔,NA,NA,0.0222
遗存,遗,存,NA,NA,0.126
球鞋,球,鞋,NA,NA,3.0764
前,前,NA,NA,NA,646.3158
药理,药,理,NA,NA,0.3706
估算,估,算,NA,NA,0.9266
若是,若,是,NA,NA,1.5196
职级,职,级,NA,NA,0.0297
购置,购,置,NA,NA,1.9867
牛市,牛,市,NA,NA,1.2157
古玩,古,玩,NA,NA,0.6079
屈才,屈,才,NA,NA,0.1779
秋分,秋,分,NA,NA,0.126
决赛,决,赛,NA,NA,22.3647
爱心,爱,心,NA,NA,38.5322
存储,存,储,NA,NA,48.2654
插手,插,手,NA,NA,4.1809
吞咽,吞,咽,NA,NA,0.7784
赎身,赎,身,NA,NA,0.341
邀,邀,NA,NA,NA,10.0445
小钱,小,钱,NA,NA,0.2817
宝贵,宝,贵,NA,NA,10.9192
子嗣,子,嗣,NA,NA,0.1557
稀释,稀,释,NA,NA,3.0541
镜子,镜,子,NA,NA,28.8732
可,可,NA,NA,NA,1212.5945
捶,捶,NA,NA,NA,0.3855
置身,置,身,NA,NA,3.7064
字号,字,号,NA,NA,1.4678
排戏,排,戏,NA,NA,0.0815
气氛,气,氛,NA,NA,50.0741
胎动,胎,动,NA,NA,1.2083
矬,矬,NA,NA,NA,0.089
全盘,全,盘,NA,NA,1.3788
怎,怎,NA,NA,NA,49.7109
香波,香,波,NA,NA,0.6004
扁舟,扁,舟,NA,NA,0.2224
乖僻,乖,僻,NA,NA,0.0964
电码,电,码,NA,NA,0.2446
把握,把,握,NA,NA,30.7561
病愈,病,愈,NA,NA,0.1483
和乐,和,乐,NA,NA,0.7413
水,水,NA,NA,NA,292.9726
造作,造,作,NA,NA,0.682
斗殴,斗,殴,NA,NA,1.0526
失笑,失,笑,NA,NA,0.3113
逊色,逊,色,NA,NA,0.9711
重犯,重,犯,NA,NA,0.1557
仙子,仙,子,NA,NA,1.5715
鞋油,鞋,油,NA,NA,0.1853
不济,不,济,NA,NA,0.5411
傻子,傻,子,NA,NA,22.5426
纲领,纲,领,NA,NA,0.3706
落水,落,水,NA,NA,2.3425
黑户,黑,户,NA,NA,0.2743
初恋,初,恋,NA,NA,18.9918
添,添,NA,NA,NA,24.0993
校训,校,训,NA,NA,0.3336
作者,作,者,NA,NA,19.2513
污垢,污,垢,NA,NA,2.209
下贱,下,贱,NA,NA,1.4233
体校,体,校,NA,NA,0.3262
拐子,拐,子,NA,NA,0.2595
贯注,贯,注,NA,NA,0.0815
唧,唧,NA,NA,NA,0.3188
咬牙,咬,牙,NA,NA,2.5278
落马,落,马,NA,NA,0.7339
民选,民,选,NA,NA,0.5782
力图,力,图,NA,NA,1.0526
返工,返,工,NA,NA,4.1364
肥水,肥,水,NA,NA,0.1779
巍然,巍,然,NA,NA,0.215
昂,昂,NA,NA,NA,3.0319
老弟,老,弟,NA,NA,13.0319
钟头,钟,头,NA,NA,8.3543
鸢,鸢,NA,NA,NA,0.1112
落差,落,差,NA,NA,2.0089
延伸,延,伸,NA,NA,4.7072
偏瘫,偏,瘫,NA,NA,0.4299
无误,无,误,NA,NA,0.5856
街灯,街,灯,NA,NA,0.8302
着,着,NA,NA,NA,3054.6256
敬祝,敬,祝,NA,NA,0.0148
币,币,NA,NA,NA,24.596
破脸,破,脸,NA,NA,0.0964
花儿,花,儿,NA,NA,12.7131
观点,观,点,NA,NA,21.0304
荣,荣,NA,NA,NA,5.6264
还嘴,还,嘴,NA,NA,0.1112
神交,神,交,NA,NA,0.1334
人祸,人,祸,NA,NA,0.4967
傅,傅,NA,NA,NA,0.2669
换取,换,取,NA,NA,4.9444
作废,作,废,NA,NA,1.275
宗,宗,NA,NA,NA,5.8265
耐性,耐,性,NA,NA,3.232
网子,网,子,NA,NA,0.1334
粟,粟,NA,NA,NA,1.1712
防身,防,身,NA,NA,0.593
知会,知,会,NA,NA,1.06
自傲,自,傲,NA,NA,1.49
佩服,佩,服,NA,NA,23.662
余烬,余,烬,NA,NA,0.1112
不断,不,断,NA,NA,126.0638
上将,上,将,NA,NA,1.7717
炽热,炽,热,NA,NA,1.6976
盗匪,盗,匪,NA,NA,0.0593
反观,反,观,NA,NA,0.5486
信心,信,心,NA,NA,34.2031
风镜,风,镜,NA,NA,0.1186
直径,直,径,NA,NA,2.298
转年,转,年,NA,NA,0.0593
护养,护,养,NA,NA,0.1186
肌理,肌,理,NA,NA,0.1927
俩,俩,NA,NA,NA,146.338
预见,预,见,NA,NA,7.361
珍宝,珍,宝,NA,NA,2.3128
台球,台,球,NA,NA,6.4492
主见,主,见,NA,NA,4.4181
随意,随,意,NA,NA,23.2839
参见,参,见,NA,NA,0.8821
理智,理,智,NA,NA,20.8451
斜眼,斜,眼,NA,NA,0.9192
屎,屎,NA,NA,NA,52.0682
牛奶,牛,奶,NA,NA,62.2313
法令,法,令,NA,NA,1.3491
挚,挚,NA,NA,NA,0.0445
曾,曾,NA,NA,NA,147.7168
正职,正,职,NA,NA,0.5708
担忧,担,忧,NA,NA,8.3024
心室,心,室,NA,NA,0.5041
遛,遛,NA,NA,NA,1.3195
窘迫,窘,迫,NA,NA,1.3417
苔原,苔,原,NA,NA,0.0593
边寨,边,寨,NA,NA,0.0148
致意,致,意,NA,NA,1.1787
起见,起,见,NA,NA,1.9422
甄别,甄,别,NA,NA,0.1631
助教,助,教,NA,NA,1.0452
赴宴,赴,宴,NA,NA,0.7635
造型,造,型,NA,NA,46.983
凄厉,凄,厉,NA,NA,0.3262
花,花,NA,NA,NA,358.3617
技工,技,工,NA,NA,0.6153
美元,美,元,NA,NA,62.8169
保准,保,准,NA,NA,0.5411
松鼠,松,鼠,NA,NA,4.2402
腕力,腕,力,NA,NA,0.0445
洋葱,洋,葱,NA,NA,16.2787
国君,国,君,NA,NA,0.126
公职,公,职,NA,NA,0.6079
博彩,博,彩,NA,NA,0.3706
舰艇,舰,艇,NA,NA,0.3262
焦黑,焦,黑,NA,NA,0.0815
道地,道,地,NA,NA,0.3781
机要,机,要,NA,NA,0.2669
慈善,慈,善,NA,NA,15.4411
足迹,足,迹,NA,NA,6.7828
烟,烟,NA,NA,NA,39.8814
稿酬,稿,酬,NA,NA,0.089
危重,危,重,NA,NA,0.089
吉兆,吉,兆,NA,NA,0.341
租,租,NA,NA,NA,28.6953
调理,调,理,NA,NA,4.129
树阴,树,阴,NA,NA,0.1112
趣事,趣,事,NA,NA,2.9652
料及,料,及,NA,NA,0.0519
奔,奔,NA,NA,NA,35.1075
比热,比,热,NA,NA,0.0297
眺望,眺,望,NA,NA,1.7494
炭,炭,NA,NA,NA,0.5486
标题,标,题,NA,NA,5.3299
园艺,园,艺,NA,NA,1.1787
杜绝,杜,绝,NA,NA,2.6316
敌意,敌,意,NA,NA,1.5789
浇注,浇,注,NA,NA,0.0297
作料,作,料,NA,NA,0.4151
认生,认,生,NA,NA,0.3929
他乡,他,乡,NA,NA,3.6694
深层,深,层,NA,NA,2.7131
判定,判,定,NA,NA,1.4752
施政,施,政,NA,NA,0.2669
请命,请,命,NA,NA,0.1853
文风,文,风,NA,NA,0.5708
会儿,会,儿,NA,NA,35.3818
抑制,抑,制,NA,NA,10.7042
坐化,坐,化,NA,NA,0.0297
山猫,山,猫,NA,NA,0.2965
田鼠,田,鼠,NA,NA,0.5708
安心,安,心,NA,NA,23.1357
利落,利,落,NA,NA,3.2246
僻,僻,NA,NA,NA,0.556
分歧,分,歧,NA,NA,3.017
热潮,热,潮,NA,NA,1.2157
尼龙,尼,龙,NA,NA,0.593
一个,一,个,NA,NA,865.3002
回家,回,家,NA,NA,785.6042
真的,真,的,NA,NA,762.8317
看到,看,到,NA,NA,747.9985
哈哈,哈,哈,NA,NA,644.0697
谢谢,谢,谢,NA,NA,617.6056
看看,看,看,NA,NA,607.4426
妈妈,妈,妈,NA,NA,490.8451
很多,很,多,NA,NA,448.3914
今晚,今,晚,NA,NA,422.4092
好好,好,好,NA,NA,390.4596
一点,一,点,NA,NA,386.086
刚刚,刚,刚,NA,NA,380.1779
中国,中,国,NA,NA,372.1868
啊啊,啊,啊,NA,NA,363.017
爸爸,爸,爸,NA,NA,346.7606
找到,找,到,NA,NA,341.023
分钟,分,钟,NA,NA,304.9073
神龙,神,龙,NA,NA,292.0163
总是,总,是,NA,NA,284.9666
还有,还,有,NA,NA,280.897
好友,好,友,NA,NA,275.7079
新增,新,增,NA,NA,260.7932
来自,来,自,NA,NA,256.983
各位,各,位,NA,NA,245.656
女孩,女,孩,NA,NA,239.1475
天天,天,天,NA,NA,230.0297
第二,第,二,NA,NA,228.4878
美国,美,国,NA,NA,210.8821
北京,北,京,NA,NA,200.8747
昨晚,昨,晚,NA,NA,197.9763
想到,想,到,NA,NA,192.7131
试试,试,试,NA,NA,185.53
见到,见,到,NA,NA,176.464
博文,博,文,NA,NA,174.4403
回到,回,到,NA,NA,165.0704
快快,快,快,NA,NA,162.6538
上海,上,海,NA,NA,161.2009
变成,变,成,NA,NA,159.7331
来说,来,说,NA,NA,159.6738
看来,看,来,NA,NA,157.6427
等等,等,等,NA,NA,156.9978
听到,听,到,NA,NA,149.0141
呵呵,呵,呵,NA,NA,148.4878
不同,不,同,NA,NA,147.8873
妹妹,妹,妹,NA,NA,147.6798
收到,收,到,NA,NA,147.3536
想起,想,起,NA,NA,147.1534
机型,机,型,NA,NA,145.5745
姐姐,姐,姐,NA,NA,138.3543
宝宝,宝,宝,NA,NA,137.0126
小小,小,小,NA,NA,133.6546
下雨,下,雨,NA,NA,124.811
面对,面,对,NA,NA,124.7072
之间,之,间,NA,NA,124.3588
第三,第,三,NA,NA,113.5656
长大,长,大,NA,NA,111.06
醒来,醒,来,NA,NA,110.9637
并不,并,不,NA,NA,109.0215
带来,带,来,NA,NA,106.3825
哥哥,哥,哥,NA,NA,103.1208
慢慢,慢,慢,NA,NA,102.8762
下雪,下,雪,NA,NA,101.6457
奶奶,奶,奶,NA,NA,100.2446
想想,想,想,NA,NA,100.0371
小孩,小,孩,NA,NA,96.7754
日本,日,本,NA,NA,95.7005
多久,多,久,NA,NA,95.0111
好吃,好,吃,NA,NA,94.2402
爱上,爱,上,NA,NA,92.6168
好玩,好,玩,NA,NA,92.4463
广州,广,州,NA,NA,92.424
黑色,黑,色,NA,NA,90.1038
留下,留,下,NA,NA,90.0445
最高,最,高,NA,NA,87.6723
做到,做,到,NA,NA,84.8036
男孩,男,孩,NA,NA,84.5219
记住,记,住,NA,NA,84.2772
嘿嘿,嘿,嘿,NA,NA,83.699
来到,来,到,NA,NA,80.5041
放下,放,下,NA,NA,78.5026
第四,第,四,NA,NA,76.5827
香港,香,港,NA,NA,75.53
弟弟,弟,弟,NA,NA,74.9963
有人,有,人,NA,NA,73.6768
心动,心,动,NA,NA,72.8391
聊天,聊,天,NA,NA,71.8977
明明,明,明,NA,NA,71.2157
谈谈,谈,谈,NA,NA,70.7932
剩下,剩,下,NA,NA,70.4893
唱歌,唱,歌,NA,NA,67.7687
爷爷,爷,爷,NA,NA,67.613
英语,英,语,NA,NA,67.5019
不能,不,能,NA,NA,66.8643
销量,销,量,NA,NA,66.3529
事儿,事,儿,NA,NA,64.8703
不少,不,少,NA,NA,64.3365
船票,船,票,NA,NA,64.2254
新版,新,版,NA,NA,64.1586
鸡蛋,鸡,蛋,NA,NA,63.0912
韩国,韩,国,NA,NA,62.8836
变得,变,得,NA,NA,62.7279
台湾,台,湾,NA,NA,61.7717
送给,送,给,NA,NA,60.9414
最新,最,新,NA,NA,60.4299
专属,专,属,NA,NA,59.7776
家里,家,里,NA,NA,59.6442
往往,往,往,NA,NA,59.3551
那边,那,边,NA,NA,59.2513
真好,真,好,NA,NA,58.4655
人人,人,人,NA,NA,56.1824
围脖,围,脖,NA,NA,56.1156
改为,改,为,NA,NA,56.1082
差点,差,点,NA,NA,55.0259
拿到,拿,到,NA,NA,54.9148
抓住,抓,住,NA,NA,54.5367
脸上,脸,上,NA,NA,53.9362
做好,做,好,NA,NA,53.1653
叔叔,叔,叔,NA,NA,52.9281
别的,别,的,NA,NA,52.8984
之一,之,一,NA,NA,52.8391
瞧瞧,瞧,瞧,NA,NA,52.2313
伸出,伸,出,NA,NA,52.1572
德州,德,州,NA,NA,52.1201
点儿,点,儿,NA,NA,51.6976
那时,那,时,NA,NA,51.2305
英国,英,国,NA,NA,50.8821
帅哥,帅,哥,NA,NA,50.3188
太太,太,太,NA,NA,49.7702
猜猜,猜,猜,NA,NA,48.2506
偷偷,偷,偷,NA,NA,47.8503
纽约,纽,约,NA,NA,47.7465
睡着,睡,着,NA,NA,47.5463
默默,默,默,NA,NA,46.9236
惨遭,惨,遭,NA,NA,46.6938
受到,受,到,NA,NA,46.6049
心想,心,想,NA,NA,46.4047
造成,造,成,NA,NA,45.96
个个,个,个,NA,NA,45.7228
某些,某,些,NA,NA,45.6783
一会,一,会,NA,NA,44.003
购物,购,物,NA,NA,43.2394
巴黎,巴,黎,NA,NA,43.0838
仅仅,仅,仅,NA,NA,42.9874
碰到,碰,到,NA,NA,42.2016
模特,模,特,NA,NA,41.8681
相爱,相,爱,NA,NA,41.7643
杀人,杀,人,NA,NA,41.2231
法国,法,国,NA,NA,41.1787
呜呜,呜,呜,NA,NA,41.0452
塞班,塞,班,NA,NA,40.8228
湖南,湖,南,NA,NA,40.5856
哥们,哥,们,NA,NA,40.4374
南京,南,京,NA,NA,40.089
之中,之,中,NA,NA,39.9778
钟声,钟,声,NA,NA,39.9036
不到,不,到,NA,NA,39.8221
蓝色,蓝,色,NA,NA,39.6071
星星,星,星,NA,NA,39.0363
金陵,金,陵,NA,NA,38.9844
转给,转,给,NA,NA,38.7546
秋冬,秋,冬,NA,NA,38.7176
那天,那,天,NA,NA,38.4804
国内,国,内,NA,NA,38.2506
常常,常,常,NA,NA,38.2283
大大,大,大,NA,NA,37.9763
双子,双,子,NA,NA,37.8206
睡醒,睡,醒,NA,NA,37.4351
度过,度,过,NA,NA,37.4351
多变,多,变,NA,NA,37.2869
流泪,流,泪,NA,NA,37.2276
忠君,忠,君,NA,NA,36.4863
这边,这,边,NA,NA,36.2342
何时,何,时,NA,NA,36.0786
被窝,被,窝,NA,NA,35.8562
开开,开,开,NA,NA,35.8414
做出,做,出,NA,NA,35.7969
或是,或,是,NA,NA,35.2261
开枪,开,枪,NA,NA,35.1371
杭州,杭,州,NA,NA,35.0037
成都,成,都,NA,NA,34.9815
猛击,猛,击,NA,NA,34.7591
楼下,楼,下,NA,NA,34.4181
累死,累,死,NA,NA,34.2847
一一,一,一,NA,NA,34.1067
统统,统,统,NA,NA,34.0697
不好,不,好,NA,NA,34.04
女装,女,装,NA,NA,33.914
还要,还,要,NA,NA,33.6323
重庆,重,庆,NA,NA,33.3877
静静,静,静,NA,NA,33.2394
放开,放,开,NA,NA,32.7798
不再,不,再,NA,NA,32.3647
随着,随,着,NA,NA,32.1201
深深,深,深,NA,NA,32.0904
喝酒,喝,酒,NA,NA,32.0385
远离,远,离,NA,NA,31.8755
接到,接,到,NA,NA,31.5864
听听,听,听,NA,NA,31.4233
老天,老,天,NA,NA,31.3417
大过,大,过,NA,NA,31.3269
乖乖,乖,乖,NA,NA,31.2824
第六,第,六,NA,NA,31.275
向前,向,前,NA,NA,31.1119
商城,商,城,NA,NA,30.9563
相遇,相,遇,NA,NA,30.6597
悄悄,悄,悄,NA,NA,30.6523
带走,带,走,NA,NA,30.5337
渐渐,渐,渐,NA,NA,30.4744
有空,有,空,NA,NA,30.4077
玩意,玩,意,NA,NA,30.3632
有所,有,所,NA,NA,30.3336
刀尖,刀,尖,NA,NA,30.2372
滚滚,滚,滚,NA,NA,29.8073
满满,满,满,NA,NA,29.7035
地上,地,上,NA,NA,29.7035
